sku,name,description,category,subcategory,gender,gender_category,age_group,color,pattern,style,product_image,model_image_1,model_image_2,model_image_3,status,featured,created_at
ZC-F0001,Beige Apparel,Female's beige apparel. Casual style.,Apparel,Apparel,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_heels__DSC6503_2.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.939852
ZC-F0002,Beige Hoodie - Graphic,Female's beige hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_hoodie_graphic_SONY_ILCE-7RM5_9600x6376_000237_1.png,,,,published,false,2025-11-28T15:56:27.941025
ZC-F0003,Beige Pants,Female's beige pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_pants__DSC3952_Large_2.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941486
ZC-F0004,Beige Sweatpants - Graphic,Female's beige sweatpants with graphic design. Casual style.,Bottoms,Sweatpants,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_sweatpants_graphic_SONY_ILCE-7RM5_9600x6376_000237_2.png,,,,published,false,2025-11-28T15:56:27.941592
ZC-F0005,Beige Tunic - Graphic,Female's beige tunic with graphic design. Casual style.,Tops,Tunic,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_tunic_graphic_file_1616x1080_001321_Large_1.png,,,,published,false,2025-11-28T15:56:27.941656
ZC-F0006,Beige T - Graphic,Female's beige t with graphic design. Casual style.,Apparel,T,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_t_shirt_graphic__DSC6666_1.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.941718
ZC-F0007,Black Blouse - Graphic,Female's black blouse with graphic design. Casual style.,Tops,Blouse,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_blouse_graphic__DSC3952_Large_1.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941784
ZC-KG0008,Girl's Black Dress - Graphic,Adorable girl's black dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC5389_1.png,,,,published,false,2025-11-28T15:56:27.941882
ZC-F0009,Black Dress - Graphic,Female's black dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC6503_1.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.941943
ZC-F0010,Black Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress_SONY_ILCE-7RM5_9600x6376_000156_1.png,,,,published,false,2025-11-28T15:56:27.942004
ZC-F0011,Black Dress - Speckled,Female's black dress with speckled design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,speckled,casual,extracted-products/female_black_dress_speckled__DSC4127_Large_1.png,model-poses/female_casual_chic_front_standing__DSC4127_Large.png,model-poses/female_casual_chic_three_quarter__DSC4127_Large.png,model-poses/female_casual_chic_casual_lifestyle__DSC4127_Large.png,published,false,2025-11-28T15:56:27.942742
ZC-F0012,Black Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress__DSC4537_Large_1.png,model-poses/female_cocktail_front_standing__DSC4537_Large.png,model-poses/female_cocktail_three_quarter__DSC4537_Large.png,model-poses/female_cocktail_casual_lifestyle__DSC4537_Large.png,published,false,2025-11-28T15:56:27.942866
ZC-F0013,Black Hoodie - Graphic,Female's black hoodie with graphic design. Streetwear style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,streetwear,extracted-products/female_black_hoodie_graphic_print_streetwear__DSC6406.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.942961
ZC-F0014,Black Hoodie - Graphic,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC3510_Large_1.png,model-poses/female_streetwear_front_standing__DSC3510_Large.png,model-poses/female_streetwear_three_quarter__DSC3510_Large.png,model-poses/female_streetwear_casual_lifestyle__DSC3510_Large.png,published,false,2025-11-28T15:56:27.943029
ZC-F0015,Black Hoodie - Graphic,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC6406_1.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.943141
ZC-F0016,Black Dress - Minimalist,Female's black dress with minimalist design. Minimalist style.,Dresses,Dress,Female,Women,Adults,Black,minimalist,minimalist,extracted-products/female_black_midi_slip_dress_minimalist_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.943207
