sku,name,description,category,subcategory,gender,gender_category,age_group,color,pattern,style,product_image,model_image_1,model_image_2,model_image_3,status,featured,created_at,slug
ZC-F0001,Women's Beige Casual Apparel,Female's beige apparel. Casual style.,Apparel,Apparel,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_heels__DSC6503_2.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.939852,women-s-beige-casual-apparel
ZC-F0002,Women's Beige Casual Graphic Print Hoodie,Female's beige hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_hoodie_graphic_SONY_ILCE-7RM5_9600x6376_000237_1.png,,,,published,false,2025-11-28T15:56:27.941025,women-s-beige-casual-graphic-print-hoodie
ZC-F0003,Women's Beige Casual Pants,Female's beige pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Beige,,casual,extracted-products/female_beige_pants__DSC3952_Large_2.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941486,women-s-beige-casual-pants
ZC-F0004,Women's Beige Casual Graphic Print Sweatpants,Female's beige sweatpants with graphic design. Casual style.,Bottoms,Sweatpants,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_sweatpants_graphic_SONY_ILCE-7RM5_9600x6376_000237_2.png,,,,published,false,2025-11-28T15:56:27.941592,women-s-beige-casual-graphic-print-sweatpants
ZC-F0005,Women's Beige Casual Graphic Print Tunic,Female's beige tunic with graphic design. Casual style.,Tops,Tunic,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_tunic_graphic_file_1616x1080_001321_Large_1.png,,,,published,false,2025-11-28T15:56:27.941656,women-s-beige-casual-graphic-print-tunic
ZC-F0006,Women's Beige Casual Graphic Print T-Shirt,Female's beige t with graphic design. Casual style.,Apparel,T,Female,Women,Adults,Beige,graphic,casual,extracted-products/female_beige_t_shirt_graphic__DSC6666_1.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.941718,women-s-beige-casual-graphic-print-t-shirt
ZC-F0007,Women's Black Casual Graphic Print Blouse,Female's black blouse with graphic design. Casual style.,Tops,Blouse,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_blouse_graphic__DSC3952_Large_1.png,model-poses/female_smart_casual_front_standing__DSC3952_Large.png,model-poses/female_smart_casual_three_quarter__DSC3952_Large.png,model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large.png,published,false,2025-11-28T15:56:27.941784,women-s-black-casual-graphic-print-blouse
ZC-KG0008,Kids's Black Casual Graphic Print Dress,Adorable girl's black dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC5389_1.png,,,,published,false,2025-11-28T15:56:27.941882,kids-s-black-casual-graphic-print-dress
ZC-F0009,Women's Black Casual Graphic Print Dress,Female's black dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_dress_graphic__DSC6503_1.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.941943,women-s-black-casual-graphic-print-dress
ZC-F0010,Women's Black Casual Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress_SONY_ILCE-7RM5_9600x6376_000156_1.png,,,,published,false,2025-11-28T15:56:27.942004,women-s-black-casual-dress
ZC-F0011,Women's Black Casual Speckled Print Dress,Female's black dress with speckled design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,speckled,casual,extracted-products/female_black_dress_speckled__DSC4127_Large_1.png,model-poses/female_casual_chic_front_standing__DSC4127_Large.png,model-poses/female_casual_chic_three_quarter__DSC4127_Large.png,model-poses/female_casual_chic_casual_lifestyle__DSC4127_Large.png,published,false,2025-11-28T15:56:27.942742,women-s-black-casual-speckled-print-dress
ZC-F0012,Women's Black Casual Dress,Female's black dress. Casual style.,Dresses,Dress,Female,Women,Adults,Black,,casual,extracted-products/female_black_dress__DSC4537_Large_1.png,model-poses/female_cocktail_front_standing__DSC4537_Large.png,model-poses/female_cocktail_three_quarter__DSC4537_Large.png,model-poses/female_cocktail_casual_lifestyle__DSC4537_Large.png,published,false,2025-11-28T15:56:27.942866,women-s-black-casual-dress-2
ZC-F0013,Women's Black Streetwear Graphic Print Hoodie,Female's black hoodie with graphic design. Streetwear style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,streetwear,extracted-products/female_black_hoodie_graphic_print_streetwear__DSC6406.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.942961,women-s-black-streetwear-graphic-print-hoodie
ZC-F0014,Women's Black Casual Graphic Print Hoodie,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC3510_Large_1.png,model-poses/female_streetwear_front_standing__DSC3510_Large.png,model-poses/female_streetwear_three_quarter__DSC3510_Large.png,model-poses/female_streetwear_casual_lifestyle__DSC3510_Large.png,published,false,2025-11-28T15:56:27.943029,women-s-black-casual-graphic-print-hoodie
ZC-F0015,Women's Black Casual Graphic Print Hoodie,Female's black hoodie with graphic design. Casual style.,Tops,Hoodie,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_hoodie_graphic__DSC6406_1.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.943141,women-s-black-casual-graphic-print-hoodie-2
ZC-F0016,Women's Black Minimalist Minimalist Print Dress,Female's black dress with minimalist design. Minimalist style.,Dresses,Dress,Female,Women,Adults,Black,minimalist,minimalist,extracted-products/female_black_midi_slip_dress_minimalist_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.943207,women-s-black-minimalist-minimalist-print-dress
ZC-F0017,Women's Black Casual Graphic Print Dress,Female's black dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_mini_dress_graphic_print_casual__DSC6503.png,model-poses/female_casual_chic_front_standing__DSC6503.png,model-poses/female_casual_chic_three_quarter__DSC6503.png,model-poses/female_casual_chic_casual_lifestyle__DSC6503.png,published,false,2025-11-28T15:56:27.943265,women-s-black-casual-graphic-print-dress-2
ZC-F0018,Women's Black Casual Mules,Female's black mules. Casual style.,Footwear,Mules,Female,Women,Adults,Black,,casual,extracted-products/female_black_mules_SONY_ILCE-7RM5_9600x6376_000156_2.png,,,,published,false,2025-11-28T15:56:27.943329,women-s-black-casual-mules
ZC-F0019,Women's Black Casual Mules,Female's black mules. Casual style.,Footwear,Mules,Female,Women,Adults,Black,,casual,extracted-products/female_black_mules__DSC4039_Large_3.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.943383,women-s-black-casual-mules-2
ZC-F0020,Women's Black Casual Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants_file_1616x1080_001321_Large_2.png,,,,published,false,2025-11-28T15:56:27.943443,women-s-black-casual-pants
ZC-F0021,Women's Black Casual Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC3713_Large_3.png,model-poses/model2_female_casual_front_standing__DSC3713_Large.png,model-poses/model2_female_casual_three_quarter__DSC3713_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC3713_Large.png,published,false,2025-11-28T15:56:27.943494,women-s-black-casual-pants-2
ZC-F0022,Women's Black Casual Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC4447_Large_2.png,model-poses/model2_female_streetwear_front_standing__DSC4447_Large.png,model-poses/model2_female_streetwear_three_quarter__DSC4447_Large.png,model-poses/model2_female_streetwear_casual_lifestyle__DSC4447_Large.png,published,false,2025-11-28T15:56:27.943559,women-s-black-casual-pants-3
